brand,model,channels,bitrate,snr,sample_rate,chipset,interface,price
SIIG,DP SoundWave,5.1,24.0,,,,PCIe x1,"['USD', '0.00']"
SIIG,IC-510012-S2,5.1,16.0,68.0,,,PCI,"['USD', '0.00']"
SIIG,IC-510111-S2,5.1,24.0,90.0,96.0,VIA VT1723,PCIe x1,"['USD', '0.00']"
SIIG,IC-710012-S2,7.1,24.0,92.0,96.0,,PCI,"['USD', '0.00']"
SIIG,LP-000022-S2,5.1,24.0,90.0,96.0,VIA VT1723,PCI,"['USD', '0.00']"
StarTech,PCISOUND4CH,4.0,16.0,,48.0,C-Media CMI8738,PCI,"['USD', '61.59']"
StarTech,PCISOUND4LP,4.0,16.0,,48.0,C-Media CMI8738,PCI,"['USD', '61.59']"
StarTech,PCISOUND5CH,5.1,24.0,,48.0,C-Media CMI8738,PCI,"['USD', '0.00']"
Syba,SD-PEX63034,7.1,24.0,,48.0,,PCIe x1,"['USD', '0.00']"
Turtle Beach,TBS-3429,5.1,24.0,,48.0,,PCI,"['USD', '0.00']"
Vantec,UGT-S100,7.1,,,48.0,,PCI,"['USD', '0.00']"
