brand,model,chipset,vram,core_clock,boost_clock,color,length,price
asus,engtx560 ti dc2 top/2di/2gd5,geforce gtx 560 ti,{'total': 2000000000},{'cycles': 900000000},{'cycles': 1797000000},black / red,0.5815384615384616,0.0
asus,engtx560 ti dcii top/2di/1gd5,geforce gtx 560 ti,{'total': 1000000000},{'cycles': 900000000},{'cycles': 1797000000},black / red,0.5815384615384616,0.0
asus,engtx560 ti dcii/2di/1gd5,geforce gtx 560 ti,{'total': 1000000000},{'cycles': 830000000},{'cycles': 1797000000},black / red,0.5815384615384616,0.0
asus,engtx560ti448dc2/2dis/1280m,geforce gtx 560 ti 448,{'total': 1250000000},{'cycles': 732000000},{'cycles': 1797000000},black / red,0.6523076923076923,0.0
asus,engtx570 dcii/2dis/1280md5,geforce gtx 570,{'total': 1250000000},{'cycles': 742000000},{'cycles': 1797000000},black / red,0.6861538461538461,0.0
asus,engtx570/2di/1280md5,geforce gtx 570,{'total': 1250000000},{'cycles': 742000000},{'cycles': 1797000000},black / silver,0.6461538461538462,0.0
asus,engtx580 dcii/2dis/1536md5,geforce gtx 580,{'total': 1500000000},{'cycles': 782000000},{'cycles': 1797000000},black / red,0.6861538461538461,0.0
asus,engtx580/2di/1536md5,geforce gtx 580,{'total': 1500000000},{'cycles': 782000000},{'cycles': 1797000000},black / silver,0.6461538461538462,0.0
asus,engtx590/3dis/3gd5,geforce gtx 590,{'total': 3000000000},{'cycles': 612000000},{'cycles': 1797000000},black / silver,0.6861538461538461,0.0
asus,ex-gtx1070-o8g,geforce gtx 1070,{'total': 8000000000},{'cycles': 1592000000},{'cycles': 1797000000},gray,0.5261538461538462,0.0
asus,expedition,radeon rx 570,{'total': 8000000000},{'cycles': 1168000000},{'cycles': 1266000000},black / red,0.5261538461538462,0.0
asus,expedition oc,geforce gtx 1050 ti,{'total': 4000000000},{'cycles': 1341000000},{'cycles': 1455000000},black / red,0.4399999999999999,0.0
asus,gt1030-2g-brk,geforce gt 1030,{'total': 2000000000},{'cycles': 1266000000},{'cycles': 1506000000},black / blue,0.3076923076923077,0.0
asus,gt1030-2g-csm,geforce gt 1030,{'total': 2000000000},{'cycles': 1266000000},{'cycles': 1506000000},black / blue,0.3199999999999999,0.0
asus,gt520-1gd3-csm,geforce gt 520,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1506000000},black / blue,0.3199999999999999,0.0
asus,gt610-2gd3-csm,geforce gt 610,{'total': 2000000000},{'cycles': 810000000},{'cycles': 1506000000},black / blue,0.3569230769230769,0.0
asus,gt610-sl-1gd3-l,geforce gt 610,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1506000000},black / blue,0.3569230769230769,0.0
asus,gt620-1gd3-l,geforce gt 620,{'total': 1000000000},{'cycles': 700000000},{'cycles': 1506000000},black / blue,0.3046153846153846,0.0
asus,gt620-1gd3-l-v2,geforce gt 620,{'total': 1000000000},{'cycles': 700000000},{'cycles': 1506000000},black / silver,0.3046153846153846,0.0
asus,gt620-dcsl-2gd3,geforce gt 620,{'total': 2000000000},{'cycles': 700000000},{'cycles': 1506000000},black / red,0.3630769230769231,0.0
asus,gt630-2gd3,geforce gt 630,{'total': 2000000000},{'cycles': 810000000},{'cycles': 1506000000},black / red,0.3815384615384615,0.0
asus,gt630-dcsl-2gd3,geforce gt 630,{'total': 2000000000},{'cycles': 810000000},{'cycles': 1506000000},black / blue,0.4123076923076922,0.0
asus,gt630-sl-2gd3-l,geforce gt 630,{'total': 2000000000},{'cycles': 902000000},{'cycles': 1506000000},black / blue,0.2061538461538461,0.0
asus,gt640-1gd3-l,geforce gt 640,{'total': 1000000000},{'cycles': 901000000},{'cycles': 1506000000},black / blue,0.3138461538461539,0.0
asus,gt640-1gd5-l,geforce gt 640,{'total': 1000000000},{'cycles': 1046000000},{'cycles': 1506000000},black / blue,0.2338461538461538,0.0
asus,gt640-2gd3,geforce gt 640,{'total': 2000000000},{'cycles': 901000000},{'cycles': 1506000000},black / red,0.4338461538461539,0.0
