brand,model,size,color,rpm,airflow,decibels,pwm,price
Fractal Design,Venturi HP-14,140.0,Black,"{'min': None, 'max': None, 'default': 1500}","{'min': None, 'max': None, 'default': 78.09}","{'min': None, 'max': None, 'default': 30.1}",True,"['USD', '19.98']"
GAMDIAS,AEOLus M1,120.0,Black,"{'min': None, 'max': None, 'default': 1500}","{'min': None, 'max': None, 'default': 45.2}","{'min': None, 'max': None, 'default': 31.0}",False,"['USD', '0.00']"
GameMax,Cyclone RGB,120.0,Black,"{'min': None, 'max': None, 'default': 1100}","{'min': None, 'max': None, 'default': 36.0}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '0.00']"
GameMax,Eclipse RGB,120.0,Black / White,"{'min': None, 'max': None, 'default': 1300}","{'min': None, 'max': None, 'default': 43.2}","{'min': None, 'max': None, 'default': 25.88}",False,"['USD', '0.00']"
GameMax,Mirage RGB,120.0,Black,"{'min': None, 'max': None, 'default': 1100}","{'min': None, 'max': None, 'default': 36.0}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '0.00']"
GameMax,Mirage White Fins,120.0,Black / White,"{'min': None, 'max': None, 'default': 1100}","{'min': None, 'max': None, 'default': 36.0}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '0.00']"
GameMax,Razor ARGB,120.0,Black,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 60.0}","{'min': None, 'max': None, 'default': 26.0}",False,"['USD', '0.00']"
GameMax,Storm Force RGB,120.0,Black / White,"{'min': None, 'max': None, 'default': 1300}","{'min': None, 'max': None, 'default': 41.4}","{'min': None, 'max': None, 'default': 21.0}",False,"['USD', '0.00']"
GameMax,Velocity ARGB,120.0,Black,"{'min': None, 'max': None, 'default': 1500}","{'min': None, 'max': None, 'default': 94.8}","{'min': None, 'max': None, 'default': 23.8}",False,"['USD', '21.94']"
Gelid Solutions,Silent,140.0,Black,"{'min': 750, 'max': 1200, 'default': None}","{'min': None, 'max': None, 'default': 74.5}","{'min': 12.0, 'max': 25.1, 'default': None}",True,"['USD', '19.95']"
