brand,model,fan_rpm,decibels,color,radiator_size,price
enermax,ets-n30-taa,"{'min': 800, 'max': 2800, 'default': none}","{'min': 16.0, 'max': 27.0, 'default': none}",black,0.0,0.0
enermax,ets-n30r-he,"{'min': 600, 'max': 2800, 'default': none}","{'min': 12.0, 'max': 28.0, 'default': none}",black,0.0,0.0
enermax,ets-n30r-taa,"{'min': 800, 'max': 2800, 'default': none}","{'min': 16.0, 'max': 27.0, 'default': none}",black,0.0,0.0
enermax,ets-n31-02,"{'min': 800, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 24.5}",black / silver,0.0,0.0
enermax,ets-t40-bk,"{'min': 800, 'max': 1800, 'default': none}","{'min': 16.0, 'max': 26.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40-ta,"{'min': 800, 'max': 1800, 'default': none}","{'min': 16.0, 'max': 21.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40-tb,"{'min': 800, 'max': 1800, 'default': none}","{'min': 10.0, 'max': 21.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40-vd,"{'min': 800, 'max': 1800, 'default': none}","{'min': 16.0, 'max': 21.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40-w,"{'min': none, 'max': none, 'default': 2200}","{'min': none, 'max': none, 'default': 31.2}",black / silver,0.0,0.0
enermax,ets-t40f-bk,"{'min': 800, 'max': 1800, 'default': none}","{'min': 16.0, 'max': 26.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40f-rf,"{'min': 500, 'max': 1200, 'default': none}","{'min': 10.0, 'max': 19.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40f-tb,"{'min': 900, 'max': 1800, 'default': none}","{'min': 11.0, 'max': 21.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t40f-w,"{'min': none, 'max': none, 'default': 2200}","{'min': none, 'max': none, 'default': 27.0}",black / silver,0.0,0.0
enermax,ets-t50 axe (black),"{'min': 800, 'max': 1800, 'default': none}","{'min': 18.9, 'max': 25.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t50 axe (white),"{'min': 800, 'max': 1800, 'default': none}","{'min': 18.9, 'max': 25.0, 'default': none}",black / silver,0.0,0.0
enermax,ets-t50 axe argb,"{'min': 500, 'max': 1600, 'default': none}","{'min': 14.0, 'max': 24.0, 'default': none}",white,0.0,0.0
enermax,liqtech tr4 280,"{'min': 500, 'max': 1500, 'default': none}","{'min': 14.0, 'max': 25.0, 'default': none}",black,0.5333333333333333,0.0
enermax,liqtech tr4 ii 360,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.8000000000000002,0.0
enermax,liqtech tr4 240,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.4,0.0
enermax,liqtech tr4 360,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.8000000000000002,0.0
enermax,liqfusion,"{'min': 500, 'max': 2000, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.4,0.0
enermax,liqfusion 360,"{'min': 500, 'max': 2000, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.8000000000000002,0.0
enermax,liqmax ii 120,"{'min': 500, 'max': 2000, 'default': none}","{'min': 16.0, 'max': 35.0, 'default': none}",black,0.0,0.0
enermax,liqmax ii 240,"{'min': 500, 'max': 2000, 'default': none}","{'min': 16.0, 'max': 35.0, 'default': none}",black,0.4,0.0
enermax,liqmax iii 120 rgb,"{'min': 500, 'max': 2000, 'default': none}","{'min': 14.0, 'max': 32.0, 'default': none}",black,0.0,0.0
enermax,liqmax iii 240 argb,"{'min': 500, 'max': 1600, 'default': none}","{'min': 14.0, 'max': 27.0, 'default': none}",black,0.4,0.0
enermax,liqmax iii 360 argb,"{'min': 500, 'max': 1600, 'default': none}","{'min': 14.0, 'max': 27.0, 'default': none}",black,0.8000000000000002,0.0
enermax,liqtech 120x,"{'min': 600, 'max': 2500, 'default': none}","{'min': 15.0, 'max': 30.0, 'default': none}",black,0.0,0.0
enermax,liqtech 240,"{'min': none, 'max': none, 'default': 2500}","{'min': none, 'max': none, 'default': 30.0}",black,0.4,0.0
enermax,liqtech ii 240,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.4,0.0
enermax,liqtech ii 280,"{'min': 500, 'max': 1500, 'default': none}","{'min': 14.0, 'max': 25.0, 'default': none}",black,0.5333333333333333,0.0
enermax,liqtech ii 360,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.8000000000000002,0.0
enermax,liqtech tr4 ii 240,"{'min': 500, 'max': 2300, 'default': none}","{'min': 14.0, 'max': 28.0, 'default': none}",black,0.4,0.0
enermax,liqtech tr4 ii 280,"{'min': 500, 'max': 1500, 'default': none}","{'min': 14.0, 'max': 25.0, 'default': none}",black,0.5333333333333333,0.0
enzotech,extreme-x rev.a,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 15.8, 'max': 43.3, 'default': none}",black,0.5333333333333333,0.0
evercool,ci01-9525ep,"{'min': 900, 'max': 2600, 'default': none}","{'min': 12.0, 'max': 31.0, 'default': none}",black,0.5333333333333333,0.0
evercool,ec-nk804a-925ep,"{'min': none, 'max': none, 'default': 2750}","{'min': none, 'max': none, 'default': 28.2}",black,0.5333333333333333,0.0
evercool,hpfi-10025,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 23.0}",black,0.5333333333333333,0.0
evercool,hph-9525cu,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 20.0}",black,0.5333333333333333,0.0
evercool,hpi-12025,"{'min': 1200, 'max': 1800, 'default': none}","{'min': 23.0, 'max': 30.0, 'default': none}",black,0.5333333333333333,0.0
evercool,hpj-12025,"{'min': none, 'max': none, 'default': 1000}","{'min': none, 'max': none, 'default': 21.0}",black,0.5333333333333333,0.0
evercool,hpk-10025ea,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 23.0}",black,0.5333333333333333,0.0
